title,directedBy,starring,avgRating,imdbId,item_id,votos,labels,metadata
Balto (1995),['simonwells'],"['kevinbacon', 'jimcummings', 'bobhoskins']",3.34382,tt0112453,13,1981.0,"['animalmovie', 'original', 'children', 'good', 'wilderness', 'animated', 'dog', 'dogs', 'computeranimation', 'catastrophe']",simonwells kevinbacon jimcummings bobhoskinsanimalmovie original children good wilderness animated dog dogs computeranimation catastrophe
Nixon (1995),['oliverstone'],"['anthonyhopkins', 'joanallen', 'powersboothe']",3.42846,tt0113987,14,6849.0,"['worldpolitics', 'president', 'original', 'biography', 'ushistory', 'conspiracy', 'basedonatruestory', 'historical', 'politics', 'biographical']",oliverstone anthonyhopkins joanallen powersbootheworldpolitics president original biography ushistory conspiracy basedonatruestory historical politics biographical
Cutthroat Island (1995),['rennyharlin'],"['maurychaykin', 'franklangella', 'matthewmodine']",2.73427,tt0112760,15,3172.0,"['treasurehunt', 'original', 'treasure', 'chase', 'swordfighting', 'basedonavideogame', 'specialeffects', 'adventure', 'pirates', 'catastrophe']",rennyharlin maurychaykin franklangella matthewmodinetreasurehunt original treasure chase swordfighting basedonavideogame specialeffects adventure pirates catastrophe
Casino (1995),['martinscorsese'],"['robertdeniro', 'joepesci', 'jameswoods']",3.82016,tt0112641,16,21392.0,"['cultclassic', 'mob', 'books', 'original', 'dramatic', 'greatsoundtrack', 'goodsoundtrack', 'excellentscript', 'organizedcrime', 'casino']",martinscorsese robertdeniro joepesci jameswoodscultclassic mob books original dramatic greatsoundtrack goodsoundtrack excellentscript organizedcrime casino
Sense and Sensibility (1995),['anglee'],"['hughgrant', 'alanrickman', 'emmathompson']",3.94589,tt0114388,17,24607.0,"['19thcentury', 'books', 'literaryadaptation', 'sisters', 'romantic', 'adaptedfrom:book', 'good', 'literature', 'basedonbook', 'british']",anglee hughgrant alanrickman emmathompson19thcentury books literaryadaptation sisters romantic adaptedfrom:book good literature basedonbook british
Four Rooms (1995),"['allisonanders', 'alexandrerockwell', 'robertrodriguez']","['sammidavis', 'amandadecadenet', 'valeriagolino']",3.41608,tt0113101,18,6311.0,"['darkhumor', 'original', 'darkcomedy', 'weird', 'nocturnal', 'multiplestorylines', 'gangster', 'blackcomedy', 'independentfilm', 'witches']",allisonanders alexandrerockwell robertrodriguez sammidavis amandadecadenet valeriagolinodarkhumor original darkcomedy weird nocturnal multiplestorylines gangster blackcomedy independentfilm witches
Ace Ventura: When Nature Calls (1995),['steveoedekerk'],"['simoncallow', 'jimcarrey', 'maynardeziashi']",2.65943,tt0112281,19,25078.0,"['slapstick', 'sequels', 'pg-13', 'detective', 'stupidashell', 'indians', 'original', 'stupidity', 'gross-out', 'funnyashell']",steveoedekerk simoncallow jimcarrey maynardeziashislapstick sequels pg-13 detective stupidashell indians original stupidity gross-out funnyashell
Money Train (1995),['josephruben'],"['wesleysnipes', 'woodyharrelson', 'jenniferlopez']",2.89166,tt0113845,20,4675.0,"['pg-13', 'original', 'chase', 'newyorkcity', 'money', 'feel-good', 'catastrophe', 'action', 'bigbudget']",josephruben wesleysnipes woodyharrelson jenniferlopezpg-13 original chase newyorkcity money feel-good catastrophe action bigbudget
Get Shorty (1995),['barrysonnenfeld'],"['johntravolta', 'genehackman', 'renerusso']",3.56584,tt0113161,21,25751.0,"['surpriseending', 'ironic', 'cultclassic', 'mob', 'books', 'darkhumor', 'original', 'goodsoundtrack', 'organizedcrime', 'caper']",barrysonnenfeld johntravolta genehackman renerussosurpriseending ironic cultclassic mob books darkhumor original goodsoundtrack organizedcrime caper
Copycat (1995),['jonamiel'],"['williammcnamara', 'dermotmulroney', 'hollyhunter']",3.30034,tt0112722,22,11187.0,"['mystery', 'pg-13', 'books', 'sanfrancisco', 'original', 'greatending', 'thriller', 'twistending', 'good', 'policeinvestigation']",jonamiel williammcnamara dermotmulroney hollyhuntermystery pg-13 books sanfrancisco original greatending thriller twistending good policeinvestigation
Assassins (1995),['richarddonner'],"['sylvesterstallone', 'antoniobanderas', 'juliannemoore']",3.16033,tt0112401,23,4905.0,"['realisticaction', 'assassination', 'chase', 'hitman', 'surveillance', 'assassin', 'explosions', 'actionpacked', 'catastrophe', 'gunfight']",richarddonner sylvesterstallone antoniobanderas juliannemoorerealisticaction assassination chase hitman surveillance assassin explosions actionpacked catastrophe gunfight
Powder (1995),['victorsalva'],"['seanpatrickflanery', 'jeffgoldblum', 'lancehenriksen']",3.17479,tt0114168,24,9224.0,"['adolescence', 'pg-13', 'books', 'original', 'teens', 'fantasyworld', 'teenagers', 'fantasy', 'bullying', 'catastrophe']",victorsalva seanpatrickflanery jeffgoldblum lancehenriksenadolescence pg-13 books original teens fantasyworld teenagers fantasy bullying catastrophe
Leaving Las Vegas (1995),['mikefiggis'],"['nicolascage', 'elisabethshue', 'richardlewis']",3.66472,tt0113627,25,24916.0,"['alcoholism', 'original', 'depressing', 'prostitution', 'nocturnal', 'adaptedfrom:book', 'drinking', 'loneliness', 'downbeat', 'harsh']",mikefiggis nicolascage elisabethshue richardlewisalcoholism original depressing prostitution nocturnal adaptedfrom:book drinking loneliness downbeat harsh
Othello (1995),['oliverparker'],"['kennethbranagh', 'laurencefishburne', 'nathanielparker']",3.60747,tt0114057,26,3035.0,"['original', 'good', 'literature', 'lifephilosophy', 'shakespeare', 'nudity(topless)', 'basedonaplay', 'catastrophe', 'oscar(bestsupportingactress)']",oliverparker kennethbranagh laurencefishburne nathanielparkeroriginal good literature lifephilosophy shakespeare nudity(topless) basedonaplay catastrophe oscar(bestsupportingactress)
Now and Then (1995),['leslilinkaglatter'],"['christinaricci', ""rosieo'donnell"", 'thorabirch']",3.42382,tt0114011,27,1889.0,"['adolescence', 'pg-13', 'unlikelyfriendships', 'girliemovie', 'teens', 'friendship', 'teenagers', 'supernatural', 'catastrophe', 'childhood']",leslilinkaglatter christinaricci rosieo'donnell thorabirchadolescence pg-13 unlikelyfriendships girliemovie teens friendship teenagers supernatural catastrophe childhood
Persuasion (1995),['rogermichell'],"['amandaroot', 'ciaránhinds', 'susanfleetwood']",4.03531,tt0114117,28,3437.0,"['19thcentury', 'books', 'england', 'adaptation', 'romantic', 'adaptedfrom:book', 'literature', 'british', 'basedonabook', 'love']",rogermichell amandaroot ciaránhinds susanfleetwood19thcentury books england adaptation romantic adaptedfrom:book literature british basedonabook love
"City of Lost Children, The (Cité des enfants perdus, La) (1995)","['marccaro', 'jean-pierrejeunet']","['ronperlman', 'danielemilfork', 'judithvittet']",3.91428,tt0112682,29,10073.0,"['greatcinematography', 'fairytales', 'visuallystunning', 'original', 'stunning', 'french', 'beautifullyfilmed', 'kidnapping', 'weird', 'distopia']",marccaro jean-pierrejeunet ronperlman danielemilfork judithvittetgreatcinematography fairytales visuallystunning original stunning french beautifullyfilmed kidnapping weird distopia
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),['yimouzhang'],"['ligong', 'baotianli', 'wangxiaoxiao']",3.63838,tt0115012,30,1363.0,"['original', 'downbeat', 'gangster', 'cinematography', 'catastrophe', 'betrayal', 'foreign']",yimouzhang ligong baotianli wangxiaoxiaooriginal downbeat gangster cinematography catastrophe betrayal foreign
Dangerous Minds (1995),['johnn.smith'],"['michellepfeiffer', 'georgedzundza', 'courtneyb.vance']",3.23571,tt0112792,31,11828.0,"['pg-13', 'original', 'goodsoundtrack', 'teens', 'good', 'teenagers', 'teacher', 'lifephilosophy', 'basedonabook', 'teen']",johnn.smith michellepfeiffer georgedzundza courtneyb.vancepg-13 original goodsoundtrack teens good teenagers teacher lifephilosophy basedonabook teen
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),['terrygilliam'],"['brucewillis', 'jonseda', 'simonjones']",3.89449,tt0114746,32,55217.0,"['surpriseending', 'psychological', 'humanity', 'dystopicfuture', 'grim', 'books', 'darkhumor', 'original', 'future', 'mindfuck']",terrygilliam brucewillis jonseda simonjonessurpriseending psychological humanity dystopicfuture grim books darkhumor original future mindfuck
Wings of Courage (1995),['jean-jacquesannaud'],"['tomhulce', 'valkilmer', 'craigsheffer']",3.05405,tt0114952,33,74.0,"['worldpolitics', 'pg-13', 'books', 'original', 'australia', 'islam', 'alternateendings', 'fantasyworld', 'good', 'israel']",jean-jacquesannaud tomhulce valkilmer craigshefferworldpolitics pg-13 books original australia islam alternateendings fantasyworld good israel
Babe (1995),['chrisnoonan'],"['dannymann', 'hugoweaving', 'christinecavanaugh']",3.598,tt0112431,34,36037.0,"['animalmovie', 'original', 'children', 'fantasyworld', 'good', 'computeranimation', 'catastrophe', 'animals', 'childhood', 'kidsandfamily']",chrisnoonan dannymann hugoweaving christinecavanaughanimalmovie original children fantasyworld good computeranimation catastrophe animals childhood kidsandfamily
Carrington (1995),['christopherhampton'],"['jonathanpryce', 'stevenwaddington', 'samuelwest']",3.49527,tt0112637,35,1576.0,"['books', 'england', 'art', 'solitude', 'veryinteresting', 'adaptedfrom:book', 'basedonabook', 'independentfilm', 'love', 'relationships']",christopherhampton jonathanpryce stevenwaddington samuelwestbooks england art solitude veryinteresting adaptedfrom:book basedonabook independentfilm love relationships
Dead Man Walking (1995),['timrobbins'],"['susansarandon', 'seanpenn', 'robertprosky']",3.9247,tt0112818,36,24001.0,"['humanity', 'controversial', 'original', 'dramatic', 'islam', 'oscar(bestactress)', 'adaptedfrom:book', 'earnest', 'justice', 'death']",timrobbins susansarandon seanpenn robertproskyhumanity controversial original dramatic islam oscar(bestactress) adaptedfrom:book earnest justice death
Across the Sea of Time (1995),['stephenlow'],"['avihoffman', 'johnmcdonough', 'peterreznick']",2.96667,tt0112286,37,89.0,"['pg-13', 'books', 'original', 'photography', 'goodsoundtrack', 'islam', 'veryinteresting', 'good', 'breathtaking', 'israel']",stephenlow avihoffman johnmcdonough peterreznickpg-13 books original photography goodsoundtrack islam veryinteresting good breathtaking israel
It Takes Two (1995),['andytennant'],"['steveguttenberg', 'kirstiealley', 'ashleyolsen']",2.92126,tt0113442,38,725.0,"['entertaining', 'original', 'goodsoundtrack', 'cute', 'romantic', 'good', 'lovestory', 'heartwarming', 'happyending', 'fun']",andytennant steveguttenberg kirstiealley ashleyolsenentertaining original goodsoundtrack cute romantic good lovestory heartwarming happyending fun
Clueless (1995),['amyheckerling'],"['aliciasilverstone', 'paulrudd', 'staceydash']",3.42428,tt0112697,39,29604.0,"['coming-of-age', 'original', 'adaptation', 'adaptedfrom:book', 'geeks', 'teens', 'sillyfun', 'teenagers', 'teenmovie', 'fashion']",amyheckerling aliciasilverstone paulrudd staceydashcoming-of-age original adaptation adaptedfrom:book geeks teens sillyfun teenagers teenmovie fashion
"Cry, the Beloved Country (1995)",['darrellroodt'],"['richardharris', 'jamesearljones', 'tsholofelowechoemang']",3.64647,tt0112749,40,946.0,"['original', 'africa', 'lifephilosophy', 'basedonabook', 'southafrica']",darrellroodt richardharris jamesearljones tsholofelowechoemangoriginal africa lifephilosophy basedonabook southafrica
Richard III (1995),['richardloncraine'],"['ianmckellen', 'annettebening', 'jimbroadbent']",3.84578,tt0114279,41,5098.0,"['england', 'original', 'talky', '1930s', 'robertdowneyjr', 'shakespeare', 'basedonaplay', 'dialogue', 'betrayal', 'goldenpalm']",richardloncraine ianmckellen annettebening jimbroadbentengland original talky 1930s robertdowneyjr shakespeare basedonaplay dialogue betrayal goldenpalm
Dead Presidents (1995),"['alberthughes', 'allenhughes']","['larenztate', 'keithdavid', 'christucker']",3.05203,tt0112819,42,2631.0,"['pg-13', 'original', 'bankrobbery', 'heist', 'caper', 'vietnamwar', 'crime', 'violence', 'conartists', '1970s']",alberthughes allenhughes larenztate keithdavid christuckerpg-13 original bankrobbery heist caper vietnamwar crime violence conartists 1970s
Restoration (1995),['michaelhoffman'],"['robertdowneyjr.', 'samneill', 'davidthewlis']",3.46409,tt0114272,43,2674.0,"['pg-13', 'books', 'england', 'original', 'darkcomedy', 'scotland', 'art', 'adaptedfrom:book', 'british', 'blackcomedy']",michaelhoffman robertdowneyjr. samneill davidthewlispg-13 books england original darkcomedy scotland art adaptedfrom:book british blackcomedy
Mortal Kombat (1995),['paulw.s.anderson'],"['lindenashby', 'christopherlambert', 'robinshou']",2.63928,tt0113855,44,13176.0,"['kungfu', 'original', 'videogame', 'goodsoundtrack', 'weird', 'chase', 'videogame', 'teens', 'fightscenes', 'basedonavideogame']",paulw.s.anderson lindenashby christopherlambert robinshoukungfu original videogame goodsoundtrack weird chase videogame teens fightscenes basedonavideogame
To Die For (1995),['gusvansant'],"['nicolekidman', 'mattdillon', 'joaquinphoenix']",3.37296,tt0114681,45,9755.0,"['obsession', 'darkhumor', 'original', 'darkcomedy', 'weird', 'veryinteresting', 'teens', 'teenagers', 'satire', 'blackcomedy']",gusvansant nicolekidman mattdillon joaquinphoenixobsession darkhumor original darkcomedy weird veryinteresting teens teenagers satire blackcomedy
How to Make an American Quilt (1995),['jocelynmoorhouse'],"['annebancroft', 'ellenburstyn', 'katenelligan']",3.2631,tt0113347,46,3341.0,"['adolescence', 'pg-13', 'books', 'original', 'marriage', 'talky', 'basedonabook', 'women', 'love', 'relationships']",jocelynmoorhouse annebancroft ellenburstyn katenelliganadolescence pg-13 books original marriage talky basedonabook women love relationships
Seven (a.k.a. Se7en) (1995),['davidfincher'],"['bradpitt', 'morganfreeman', 'gwynethpaltrow']",4.08292,tt0114369,47,55762.0,"['mystery', 'surpriseending', 'psychological', 'scary', 'grim', 'pg-13', 'books', 'original', 'dramatic', 'goodsoundtrack']",davidfincher bradpitt morganfreeman gwynethpaltrowmystery surpriseending psychological scary grim pg-13 books original dramatic goodsoundtrack
Pocahontas (1995),"['mikegabriel', 'ericgoldberg']","['melgibson', 'irenebedard', 'lindahunt']",2.97526,tt0114148,48,16463.0,"['disney', 'indians', 'original', 'nativeamericans', 'children', 'cultureclash', 'brainwashing', 'good', 'animated', 'fairytale']",mikegabriel ericgoldberg melgibson irenebedard lindahuntdisney indians original nativeamericans children cultureclash brainwashing good animated fairytale
When Night Is Falling (1995),['patriciarozema'],"['henryczerny', 'davidfox', 'pascalebussières']",3.53455,tt0114916,49,267.0,"['gaycharacter', 'indians', 'beautifullyfilmed', 'weird', 'visuallyappealing', 'intimate', 'nudity(topless-notable)', 'relationships', 'catastrophe', 'lesbian']",patriciarozema henryczerny davidfox pascalebussièresgaycharacter indians beautifullyfilmed weird visuallyappealing intimate nudity(topless-notable) relationships catastrophe lesbian
"Usual Suspects, The (1995)",['bryansinger'],"['stephenbaldwin', 'gabrielbyrne', 'beniciodeltoro']",4.27727,tt0114814,50,62749.0,"['mystery', 'surpriseending', 'nonlinear', 'pg-13', 'darkhumor', 'losangeles', 'original', 'dramatic', 'flashbacks', 'secrets']",bryansinger stephenbaldwin gabrielbyrne beniciodeltoromystery surpriseending nonlinear pg-13 darkhumor losangeles original dramatic flashbacks secrets
Guardian Angel (1994),['richardw.munchkin'],"['danielmcvicar', 'marshallr.teague', 'lydiedenier']",2.61111,tt0109950,51,35.0,[],richardw.munchkin danielmcvicar marshallr.teague lydiedenier
Mighty Aphrodite (1995),['woodyallen'],"['woodyallen', 'mirasorvino', 'f.murrayabraham']",3.53066,tt0113819,52,10410.0,"['original', 'art', 'independentfilm', 'adoption', 'oscar(bestsupportingactress)']",woodyallen woodyallen mirasorvino f.murrayabrahamoriginal art independentfilm adoption oscar(bestsupportingactress)
Lamerica (1994),['gianniamelio'],"['carmelodimazzarelli', 'enricoloverso', 'piromilkani']",3.69697,tt0110299,53,162.0,"['independentfilm', 'criterion', 'manipulation']",gianniamelio carmelodimazzarelli enricoloverso piromilkaniindependentfilm criterion manipulation
"Big Green, The (1995)",['hollygoldbergsloan'],"['steveguttenberg', 'jayo.sanders', 'johnterry']",2.84078,tt0112499,54,1070.0,"['disney', 'soccer', 'children', 'teens', 'catastrophe', 'kidsandfamily', 'creativity']",hollygoldbergsloan steveguttenberg jayo.sanders johnterrydisney soccer children teens catastrophe kidsandfamily creativity
Georgia (1995),['ulugrosbard'],"['tedlevine', 'maxperlich', 'jenniferjasonleigh']",3.22709,tt0113158,55,979.0,"['original', 'addiction', 'veryinteresting', 'relationships', 'catastrophe', 'music', 'artist', 'musicians', 'drugabuse']",ulugrosbard tedlevine maxperlich jenniferjasonleighoriginal addiction veryinteresting relationships catastrophe music artist musicians drugabuse
Kids of the Round Table (1995),['roberttinnell'],"['justinborntraeger', 'michaelironside', 'malcolmmcdowell']",2.06024,tt0113541,56,83.0,"['pg-13', 'original', 'cute', 'basedonavideogame', 'fantasyworld', 'catastrophe']",roberttinnell justinborntraeger michaelironside malcolmmcdowellpg-13 original cute basedonavideogame fantasyworld catastrophe
Home for the Holidays (1995),['jodiefoster'],"['robertdowneyjr.', 'clairedanes', 'charlesdurning']",3.3201,tt0113321,57,2537.0,"['gaycharacter', 'drama', 'robertdowneyjr', 'relationships']",jodiefoster robertdowneyjr. clairedanes charlesdurninggaycharacter drama robertdowneyjr relationships
"Postman, The (Postino, Il) (1994)",['michaelradford'],"['philippenoiret', 'massimotroisi', 'mariagraziacucinotta']",3.96328,tt0110877,58,13407.0,"['original', 'beautifulscenery', 'affectionate', 'lifephilosophy', 'poetry', 'love', 'island', 'relationships', 'boring', 'oscar(bestsupportingactress)']",michaelradford philippenoiret massimotroisi mariagraziacucinottaoriginal beautifulscenery affectionate lifephilosophy poetry love island relationships boring oscar(bestsupportingactress)
"Confessional, The (Confessionnal, Le) (1995)",['robertlepage'],"['lothairebluteau', 'patrickgoyette', 'jean-louismillette']",3.59903,tt0112714,59,205.0,"['original', 'veryinteresting', 'criterion', 'movielenstoppick', 'catastrophe', 'goldenpalm', 'foreign', 'creativity']",robertlepage lothairebluteau patrickgoyette jean-louismilletteoriginal veryinteresting criterion movielenstoppick catastrophe goldenpalm foreign creativity
"Indian in the Cupboard, The (1995)",['frankoz'],"['halscardino', 'litefoot', 'lindsaycrouse']",3.0664,tt0113419,60,7637.0,"['adolescence', 'books', 'indians', 'original', 'highfantasy', 'children', 'toys', 'magic', 'fantasyworld', 'basedonbook']",frankoz halscardino litefoot lindsaycrouseadolescence books indians original highfantasy children toys magic fantasyworld basedonbook
Eye for an Eye (1996),['johnschlesinger'],"['edharris', 'oliviaburnette', 'sallyfield']",3.32966,tt0116260,61,2476.0,"['justice', 'rape', 'catastrophe', 'vigilante', 'revenge', 'vengeance', 'creativity', 'vigilantism']",johnschlesinger edharris oliviaburnette sallyfieldjustice rape catastrophe vigilante revenge vengeance creativity vigilantism
Mr. Holland's Opus (1995),['stephenherek'],"['richarddreyfuss', 'jaythomas', 'olympiadukakis']",3.7419,tt0113862,62,23408.0,"['adolescence', 'pg-13', 'original', 'dramatic', 'classicalmusic', 'goodsoundtrack', 'hiphop', 'teens', 'good', 'school']",stephenherek richarddreyfuss jaythomas olympiadukakisadolescence pg-13 original dramatic classicalmusic goodsoundtrack hiphop teens good school
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),['parisbarclay'],"['marlonwayans', 'shawnwayans', 'traceycherellejones']",3.12461,tt0116126,63,2766.0,"['original', 'parody', 'teens', 'comedy', 'sillyfun', 'gangster', 'hilarious', 'spoof', 'goofy', 'gangsters']",parisbarclay marlonwayans shawnwayans traceycherellejonesoriginal parody teens comedy sillyfun gangster hilarious spoof goofy gangsters
Two if by Sea (1996),['billbennett'],"['stephendillane', 'yaphetkotto', 'denisleary']",2.83667,tt0118002,64,2192.0,"['romantic', 'lovestory', 'island', 'catastrophe', 'antarctica']",billbennett stephendillane yaphetkotto denislearyromantic lovestory island catastrophe antarctica
Bio-Dome (1996),['jasonbloom'],"['williamatherton', 'denisedowse', 'daratomanovich']",2.39693,tt0115683,65,5850.0,"['pg-13', 'original', 'stupidity', 'idiotic', 'weed', 'teens', 'sillyfun', 'basedonavideogame', 'stupid', 'slackers']",jasonbloom williamatherton denisedowse daratomanovichpg-13 original stupidity idiotic weed teens sillyfun basedonavideogame stupid slackers
Lawnmower Man 2: Beyond Cyberspace (1996),['farhadmann'],"['patrickbergin', 'mattfrewer', ""austino'brien""]",2.15887,tt0116839,66,2592.0,"['dystopicfuture', 'original', 'future', 'weird', 'distopia', 'swordfight', 'teens', 'fightscenes', 'specialeffects', 'technology']",farhadmann patrickbergin mattfrewer austino'briendystopicfuture original future weird distopia swordfight teens fightscenes specialeffects technology
Two Bits (1995),['jamesfoley'],"['jerrybarone', 'patrickborriello', 'alpacino']",3.3388,tt0114753,67,181.0,"['adolescence', 'original', 'australia', 'teenagers', 'catastrophe', 'childhood', 'comingofage']",jamesfoley jerrybarone patrickborriello alpacinoadolescence original australia teenagers catastrophe childhood comingofage
French Twist (Gazon maudit) (1995),['josianebalasko'],"['victoriaabril', 'josianebalasko', 'alainchabat']",3.45188,tt0113149,68,1323.0,"['controversial', 'pornography', 'nudity(fullfrontal-brief)', 'sexual', 'art', 'nudity', 'veryinteresting', 'sexy', 'nudity(fullfrontal)', 'nudity(fullfrontal-notable)']",josianebalasko victoriaabril josianebalasko alainchabatcontroversial pornography nudity(fullfrontal-brief) sexual art nudity veryinteresting sexy nudity(fullfrontal) nudity(fullfrontal-notable)
Friday (1995),['f.garygray'],"['icecube', ""tom'tiny'listerjr."", 'christucker']",3.55209,tt0113118,69,5261.0,"['original', 'weed', 'comedy', 'friendship', 'marijuana', 'slackers', 'hilarious', 'catastrophe', 'quotable', 'buddymovie']",f.garygray icecube tom'tiny'listerjr. christuckeroriginal weed comedy friendship marijuana slackers hilarious catastrophe quotable buddymovie
From Dusk Till Dawn (1996),['robertrodriguez'],"['georgeclooney', 'quentintarantino', 'harveykeitel']",3.33222,tt0116367,70,16038.0,"['cultclassic', 'original', 'goodsoundtrack', 'bankrobbery', 'weird', 'splatter', 'vampire', 'nudity', 'nocturnal', 'mexico']",robertrodriguez georgeclooney quentintarantino harveykeitelcultclassic original goodsoundtrack bankrobbery weird splatter vampire nudity nocturnal mexico
Fair Game (1995),['andrewsipes'],"['williambaldwin', 'stevenberkoff', 'christophermcdonald']",2.35394,tt0113010,71,1370.0,"['pg-13', 'chase', 'conspiracy', 'remake', 'lawyer', 'catastrophe', 'gunfight', 'carchase', 'action', 'bigbudget']",andrewsipes williambaldwin stevenberkoff christophermcdonaldpg-13 chase conspiracy remake lawyer catastrophe gunfight carchase action bigbudget
Kicking and Screaming (1995),['noahbaumbach'],"['jonathanbaumbach', 'samgould', 'joshhamilton']",3.48184,tt0113537,72,1352.0,"['coming-of-age', 'beer', 'original', 'entirelydialogue', 'drinking', 'talky', 'college', 'independentfilm', 'criterion', 'dialogue']",noahbaumbach jonathanbaumbach samgould joshhamiltoncoming-of-age beer original entirelydialogue drinking talky college independentfilm criterion dialogue
"Misérables, Les (1995)",['claudelelouch'],"['jean-paulbelmondo', 'michelboujenah', 'alessandramartines']",3.79641,tt0113828,73,3439.0,"['pg-13', 'original', 'courage', 'adaptedfrom:book', 'basedonbook', 'basedonabook', 'love', 'jewish', 'catastrophe', 'betrayal']",claudelelouch jean-paulbelmondo michelboujenah alessandramartinespg-13 original courage adaptedfrom:book basedonbook basedonabook love jewish catastrophe betrayal
